id_EXIST,text,path_video,target,description,label,analysis,probability
220624,"after mam  si mam  naman  fire  red_heart  folded_hands_light_skin_tone   waaahh solid!! text  dona is cleaning the room.  i wanna do you like michael, i wanna kiss you like prince",videos/7022509769390836993.mp4,0,"The video features four individuals, one woman and three men, performing a choreographed dance to a pop song with lyrics about romantic pursuit and desire, and the video's framing is focused on the dance performance itself.",NO,"The video is a dance performance and does not itself actively promote, endorse, or normalize sexism; the song lyrics, while containing common romantic tropes, are not presented by the video in a way that pushes a sexist agenda or demeans any gender.",0.1
220160,"but those acting skills tho after a fight with my stepmom, she is waiting for my dad to come back home. she is crying and upset, telling him everything that happened in an exaggerated way. i am impressed with her storytelling skills, but i know my dad won't believe her. eventually, my dad pulls into the driveway and she tells him what happened, still crying and looking angry.  standing outside my house try trying to apologize you're so ugly when you cry please just cut it out. don't tell me you're sorry cause you're not. but you put on but now it's time to go very entertaining. now.",videos/6892201824372247809.mp4,0,"The video humorously depicts a young woman's perspective on a conflict with her stepmother, showing the stepmother as an exaggerated, crying, manipulative figure, but the video's framing is a personal anecdote ridiculing specific behavior rather than promoting general sexist stereotypes about women.",NO,"The video portrays a specific stepmother's actions in a negative and somewhat stereotypical way (e.g., manipulative crying) for comedic effect within a personal narrative, but it does not generalize these traits to all women or promote sexist ideas; the video's primary intent is to satirize a specific individual's behavior in a family conflict, not to endorse harmful stereotypes about women as a gender.",0.1
220698,"autistic girls vs boys (part 2) autistic girls are perfect to me. they may have autism, but they are still perfect to me. some may be different, but they are still perfect. autistic boys are also perfect, just like any other boys.  don't be scared, don't be shy, come on in, the war is fine. you say the ocean is rising, like i give a shit. i'm bombing you. um foreign i'm looking for the things to do. i don't get them.",videos/7052071915871063302.mp4,1,"The video contrasts 'Autistic Girls,' depicted through a gentle and emotionally supportive interaction between two young women, with 'Autistic Boys,' depicted using dramatic cinematic footage of a powerful leader addressing a vast, subservient army; the video itself creates this juxtaposition for comedic effect based on gendered stereotypes within autism.",YES,"The video is sexist because it actively promotes limiting gender stereotypes by contrasting a gentle, emotional, and interpersonally-focused portrayal of autistic girls with an epic, powerful, and leadership-focused portrayal of autistic boys, thereby reinforcing traditional gender hierarchies where male-coded traits are presented as more grand or impactful, which can subtly belittle or marginalize the female experience shown.",0.7
220490,"sorry this isn’t toca but i just wanted to try it out •  label  • this filter shows your sexuality.  i got my t-y, i got my t-y, i got my t-y",videos/6979627558358781190.mp4,0,"The video displays a hand with a filter that cycles through various colors, accompanied by text stating ""this filter shows ur sexuality""; the video's framing is playful and part of a TikTok trend, not promoting any sexist ideas.",NO,"The video uses a filter in a lighthearted manner to suggest it reveals sexuality and does not promote any of the defined sexist elements such as marginalization, harmful stereotypes, male superiority, or misogyny.",0.05
220507,"the sandwich was delicious  smiling_face_with_horns  nastya and artem are a couple.  it's been a long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long,",videos/6983823908126379266.mp4,1,"The video shows a young woman cleaning a kitchen counter while a young man makes sandwiches; after he assembles them and turns to leave, she grabs his head and slams it into the sandwiches on the counter, with the video framing this as a quick, comedic, and shocking moment set to upbeat music.",NO,"The video depicts a surprising act of aggression from a female towards a male, framed comedically, but it does not appear that the video's own primary message is to actively promote sexist ideas such as gender-based marginalization, harmful stereotypes intended to demean or restrict, or gender superiority. The intent seems to be shock humor rather than the endorsement or normalization of sexism as defined.",0.3
220466,"part 3? idk, it’s another one of these female characters are often featured in comedies about marriage and parenting. they play a variety of roles and add humor to the story.  weddings and babies and wine. weddings and babies and wine. yes! i'm the one-dimensional female lead, so i too only care about weddings and babies and wine. and you have three kids, but you're super skinny, right? oh yes. and you're blonde. of course. and your husband is a four at best. i'm married to a total cave troll. but he's so funny. well, yeah, this is the insulting social construct we all grew up with that teaches straight men that their magnetic personalities allow them to have whatever women they want, while women are so desperate to get married that we should take whatever schmuck falls into our steel trap of neediness. my husband is very handsome for someone three times my age. well, i'm the female lead in a commercial, so my husband and i are the same age. and by that i mean i'm 35 and he's 50. let's talk about something other than our husbands. like...",videos/6974197940147571974.mp4,1,"The video satirizes common, one-dimensional, and often sexist tropes of female characters in comedies about marriage and parenting, with the creator explicitly calling out the 'insulting social construct' these tropes represent, thereby critiquing rather than endorsing them.",NO,"The video uses satire to critique and highlight sexist stereotypes prevalent in media portrayals of women in marriage/parenting comedies, and does not itself promote or endorse these stereotypes as true or acceptable.",0.05
220048, face_with_symbols_on_mouth  face_with_symbols_on_mouth  face_with_symbols_on_mouth  me when baby is asleep. him. cube crush on/off water. fn frigidaire crush on/off water. cube. ,videos/6828214342043831558.mp4,1,"The video contrasts a person, captioned ""Me,"" performing everyday tasks very quietly while a baby is supposedly asleep, with another person, captioned ""Him,"" performing various tasks with comically exaggerated and loud noises; the video uses this gendered comparison for humorous effect, based on stereotypes about noise levels.",NO,"The video depicts common and lighthearted gender stereotypes (men being louder or less considerate of noise around a sleeping baby) for comedic purposes, emphasized by the highly exaggerated sounds in the ""Him"" segment; the video's discernible primary intent does not appear to be to use these stereotypes to demean men as a gender, restrict them, or advocate for unequal treatment, but rather to create relatable humor around a common domestic scenario.",0.3
220149," comedian stereotypes are often associated with moon. these stereotypes can be seen in the way comedians are portrayed in media and entertainment. however, these stereotypes can be harmful and limiting, as they do not accurately represent the diverse and unique individuals who make up the comedy industry. it is important to challenge and break these stereotypes to create a more inclusive and authentic representation of comedians.  people get so mad about stereotypes and i have no idea why. it's like, dude, we know they're not true. it's like me. they say fat women over the age of 40 that are still single will inevitably overcompensate with humour, get themselves a load of cats and die a cat lady, lonely and alone. fuck's sake!",videos/6884942741575339266.mp4,1,"The video features a woman satirically discussing and then humorously embodying the 'cat lady' stereotype applied to single, overweight women over 40, framing stereotypes as things 'we know they're not true' and using them for self-deprecating comedy.",NO,"The video uses a stereotype for satirical and comedic purposes, with the speaker explicitly stating that stereotypes are generally understood to be untrue, and does not promote or endorse the stereotype as valid or use it to demean women.",0.1
220222,"“blackvsregular” face_with_monocle  kelzuncut is a unique and interesting username with a combination of letters and numbers. it is easy to remember and has a cool vibe to it. the username is associated with various social media platforms and online accounts. the owner of this username seems to have a creative and fun personality.  why is this section closed why why is white people wait don't don't don't start yelling at her why is this section closed okay so we received like we didn't choose this, okay? we received a notice of what is essential and what is non-essential. no, no, that doesn't make sense. wait, hold on. don't let her finish her sentence. both? so, like, from... we're the ones who received it from our, like... hold on, wait, one second. right now, i'm on live on my instagram because i'm shocked. so, i just want to make sure that you know the head office yeah okay and that's what they said so head office hold on. head office sent you guys a letter saying what was considered essential and non-essential in your store and told you guys to close this section off. it should be all the uniprees. no, no, no, no. wait, hold on. she works at this unipree? yeah, but don't do it because you have to remember she just works here. and we're just, so we can't start turning up with her. especially because, exactly, she's also a color doctor.",videos/6912840520943389954.mp4,0,"The video shows a customer questioning why a specific section of hair products is closed off in a store, with an employee explaining it's a head office decision based on ""essential"" vs. ""non-essential"" items; the video's intent appears to be to document and question this policy, not to promote sexism.",NO,"The video does not promote, endorse, or normalize sexism; instead, it documents a customer's inquiry about a store policy and expresses surprise or concern about that policy.",0.05
220993," warning fake body fake situation fake everything warning  just a lollipop  nothing suggestive i don't know how to draw nsfw. sofia, how many times do we have to go through this? you're an artist, you can draw nsfw. i'm getting sick of stereotypes. just give me some nsfw.  i don't know how to play bass. token, how many times do we have to go through this? you're black. you can play bass. i'm getting sick of your stereotypes. be as sick as you want. just give me a goddamn baseline.",videos/7141485168707046662.mp4,0,"The video shows a stick figure animation with text overlay, using audio from a South Park scene. A female-named character, Sofia, says she doesn't know how to draw NSFW content. Another character (with a male voice) insists she can because she's an 'artist,' to which Sofia replies she's 'sick of your stereotypes.' The video humorously depicts this interaction without endorsing the pressure or the stereotype itself.",NO,"The video does not promote, endorse, or normalize sexism because the stereotype discussed ('artists can draw nsfw') is not gender-based, and the character subjected to the stereotype explicitly expresses annoyance, indicating the video is not validating the pressure. The humor derives from the interaction rather than an endorsement of sexist ideas.",0.1
