id_EXIST,text,path_video,target,description,label,analysis
220311,"reply to reply to jerrmo's comment about false allegations and revenge  what if they are not true? what if she is ruining their lives out of spite? what if? macbook air.

he used a different word. macbook air.

and then he grabbed me on the inside of my thigh. macbook air.

at that moment, we were left alone and he picked me up. macbook air.

we found out later that the guard had a reputation. macbook air.

when he got up from my bed and left, my roommate rolled over and told me it happened to most of the girls. macbook air.

it was a second-year associate. macbook air.

he invited me to a strategy meeting in his hotel room. macbook air.

he answered the door in his bathrobe. macbook air.

we spent the evening insisting on working on the case. macbook air.

at that moment, we were left alone and he picked me up. macbook air.  he used a different word and then he grabbed me on the inside of my thigh. at that moment, we were left alone and he picked me up. he just picked me up he just picked me up and carried me behind the fence and he lay down on top of me and started to take my pants off. i fought and i fought, but he was 18 and i was 12. i found out later this guard had a reputation. when he got up from my bed and left, my roommate rolled over and told me it happened to most of the girls. i was his second year associate. he invited me to a strategy meeting in his hotel room. he answered the door in his bathrobe. i spent the evening insisting we work on the case. at the end of that year, i was let go. i had been babysitting for this family for i guess two years. he was my youth pastor. my second cousin. your honor, one will leave this one.",videos/6939640400336424198.mp4,1,"The video is a montage of scenes from a show or movie where various women recount experiences of sexual assault or harassment by men, with an overlaid TikTok comment questioning the truthfulness of such allegations and suggesting they might be false and made out of revenge.",YES,"The video criticizes sexism by presenting multiple accounts of sexual assault and harassment, thereby highlighting a pattern of male aggression and abuse of power. The overlaid comment, which doubts the veracity of such allegations and suggests female accusers are vengeful, embodies a common sexist trope used to discredit victims; its inclusion serves to critique this dismissive and harmful societal reaction to women's testimonies."
220204,"with ""ladies, don't embarrass us. take him to the barbershop with you. bad b*tch.""  if a dude take you in the barbershop with him, you a bad bitch. yo, my guy. what are you doing? right now, you're committing a war crime against guy mandy. because listen to me very carefully, now that they hear this, right, they're going to want to go to the barbershop, and when they go to the barbershop, right, they're going to be thinking, oh, i'm a bad bitch. i'm a bad bitch. when in reality, they're a sad bitch. okay? we don't bring y'all to the barbershop because we don't want y'all to embarrass us with our friends. then, okay, don't embarrass us with our friends. okay? our friends are going to look at you and laugh. they're going to clown us for weeks. we can't show up at the barbershop no more. we can't do that. okay? we're going to be looking rough for weeks because they're going to laugh at us don't do this ladies we beg you you don't want to embarrass us",videos/6910189069548932357.mp4,1,"The video features two men discussing women accompanying men to barbershops; the first man suggests it's a sign the woman is desirable ('bad b*tch'), while the second man argues against it, claiming women will embarrass men and are actually 'sad b*tches' for thinking they are special in that context.",YES,"The video criticizes sexism through the second man's commentary, which devalues women by calling them 'sad b*tches' if they feel confident in a barbershop setting and suggests their presence is primarily a source of potential embarrassment for men among their peers. This reflects prejudice based on gender stereotypes and promotes the idea that women's behavior should be policed to avoid male discomfort."
220071,"today’s females got issues. i can't deal with today's women, especially with all the drama and social media clowning. it's not worth it to have to deal with your ex bringing up your friends in her messages. she misses you and wants you back, but you have to apologize first.  i'm not even gonna lie. i can't deal with females in this generation at all. i'm gonna tell you why. because when y'all break up, no matter who broke up with who, all hell breaks loose. first thing she do is get on social media. you't your dick weak your dick small your dick stank your breath stank you're broke you ain't got no money your car raggedy you drive your mama whip all day i i'm talking, she on your ass. and then she bring your homeboys into it. talk about some. they was in her dms the whole time we was together. because i sent them to see what you was going to do. and then after all that, she want to get back together. like, you not just call me names and say my dick was little and it stank and all that. i mean, i'm gonna come back and all, but can you at least apologize first? they kind of hurt my feelings a little bit.",videos/6842033977524604165.mp4,1,"A man complains about his inability to 'deal with today's women,' describing a stereotypical scenario where women allegedly go on social media to publicly insult their ex-partners after a breakup, then later want to reconcile.",YES,"The video embodies sexism by making broad, negative generalizations about 'today's women,' attributing specific vindictive and dramatic post-breakup behaviors to them as a monolithic group, thereby relying on and perpetuating harmful gender stereotypes."
220816,"reply to   same goes with how reclaiming queer ancestral relationalities doesn’t mean people can’t be straight reply to zyloxxoo's comment ""white centered things"" lol how is saying monogamy doesn't automatically ipso facto mean colonialism white? i'm not white or cis het. the tenets of whiteness include binary and linear expression and thought, obsession with perfection, denial or dismissal of individuality, and an obsession with hierarchy and niceness over kindness. this is reflected in the inflation of productivity and the work of white individuals, while ignoring the work and contributions of bipoc community advocates. i refuse to cite non-melanated sources and instead choose to support and uplift the voices of bipoc individuals. join us next month on patreon as we dive deep into studying whiteness and actively work towards divesting from it.  so i don't know who needs to hear this, but like you can be perpetuating tenets of whiteness without being white yourself. so i'd say these comments are an example of binary thinking and linear expression of thought, which is a tenet of whiteness. you can follow this instagram page to learn more about that. so i never said anything equals anything. i'm simply calling out the logic of the binary thinking in your original comment. and so i think your original comment was white-centered because it didn't seem to be centering the people who are most marginalized within the polyamorous community who are trying to do the work to reclaim ancestral forms of relationalities that have been lost in our communities. so the alternative to binary thinking is starting to accept that multiple things can be true at once. so in this case, i can talk about the importance of reclaiming ancestral relationalities without saying that everybody needs to be doing that. i never said everyone needs to be doing that.",videos/7091873201776512298.mp4,0,"A person responds to a comment, explaining that one can perpetuate 'tenets of whiteness' such as binary thinking without being white, and relates this to a discussion about monogamy and colonialism.",NO,"The video's content focuses on concepts of 'whiteness,' colonialism, and binary thinking in relation to relationship structures like monogamy and polyamory. It does not engage with or criticize sexism, gender stereotypes, male superiority, or misogyny."
220043," manspreading in the daily mail.  the advent of manspreading, what an extraordinary thing. it was actually the invention of this word that inspired me to stop calling myself a feminist, because i realised the ideology that i thought meant freedom and equality was actually just a load of rubbish that had been hijacked by idiots who make up words to prove their point. and look, to explain what manspreading is, it was explained to me originally as the theory that men sit with their legs far apart on public transport to sort of invade women's space and sort of stake their claim as part of the furniture, so to speak, and that it was a terribly sexist thing and designed to infringe on women's space. and now we know that's not the case. and i'm going to phrase this very delicately, peter, for this prime time slot. anyone with a basic knowledge of the human anatomy will know why gentlemen tend to sit with their legs slightly further apart than women do. it's...",videos/6821436083004263686.mp4,1,"A woman on a news segment explains that the term 'manspreading' (men sitting with legs wide apart) led her to stop identifying as a feminist, arguing that the behavior is due to male anatomy, not a sexist act to encroach on women's space.",YES,"The video criticizes the concept of 'manspreading' as a valid example of sexism. The speaker argues that the term and its underlying accusation of sexist intent by men are unfounded, based on a misunderstanding of male anatomy, and represent a flawed aspect of feminist ideology."
220029," candrey81 put a ring on it so you can eat.  you really didn't make me no food. did you make me your wife? what the room and fuck this plate up. so baby, you trying to tell me you didn't really make me no food? no.",videos/6808596330760604933.mp4,0,"A woman in a TikTok video responds to a man's question about her not making him food by asking if he made her his wife, implying that cooking for him is contingent on marital commitment.",YES,"The video criticizes the gender stereotype that women are expected to provide domestic labor like cooking for men, by having the woman assert that such an expectation is only valid within the context of a committed marital relationship, thereby challenging an unearned entitlement."
220445,"femeia... simplă creatură!  beaming_face_with_smiling_eyes  don't call her? wait for her to call you! when she's upset and leaves. when she's upset and leaves. follow her. don't push or hit her. don't push or hit her. don't let go! ask her what happened! she ignores you. she wants you to pay attention. see if she's about to cry. comfort her and tell her everything will be okay. tell her it's cold. tell her it's cold. hug her! tickle her. hug her too! look at her intently. tease her! show her you won't give up on her! show her you won't give up on her!  she doesn't call you. it's because she's waiting for you to call her. when she's mad and walks away, she wants you to follow her. she pushes you or hits you, grab her and don't let go. she is quiet. she wants you to ask her what is wrong. if she ignores you, she wants you to give her attention. when you see her getting ready to cry, hold her and tell her that everything's going to be okay. if she says it's cold, hug her tight. if she tickles you, tickle her back. if she stares at you, she wants you to kiss her. if looks like she's about to give up. say you will never let her go. her go.",videos/6969795347333926150.mp4,1,"The video displays a series of text overlays on a sunset background, offering 'advice' on how to interpret a woman's actions, suggesting that her outward behavior contradicts her true desires, which the viewer (presumably male) should act upon.",YES,"The video promotes sexism by perpetuating harmful gender stereotypes that women are indirect, their 'no' doesn't mean no, and they require men to decipher their 'true' intentions and take control, sometimes physically. Advice like 'grab her and don't let go' when she pushes or hits dangerously blurs the lines of consent and normalizes disregarding a woman's expressed actions or boundaries."
220133,"golddigger check! face_screaming_in_fear  did she pass?   hushed_face  your 2nd @ is not a golddigger  eyes  ""hey, how are you doing? i see you checking me out. this is my car right here, my own car. i got a rubicon wrangler. rubicon wrangler.""  hey, how you doing? hello. i see you checking me out. hey, what's up? this is my car right here i have my own car i got money come on come on!",videos/6879139227779550470.mp4,1,"A man attempts to impress a woman walking down the street by showing off his Jeep and a handful of cash, but she confidently states she has her own car and money and walks away.",YES,The video criticizes sexism by depicting a man's attempt to attract a woman based on the gender stereotype that women are primarily impressed by material wealth. The woman's explicit rejection of his advances and her assertion of her own financial independence serve as a critique of this stereotypical and arguably sexist approach.
220523,"""on the dyer?""  slightly_frowning_face  truth or drink with my  on youtube.com/cut stepdad and daughter play ""truth or drink"" game. they take turns asking each other personal questions and have the option to either answer truthfully or take a shot of alcohol. the game gets intense as they reveal hidden truths and secrets.  have you ever had sex in my house? yeah, take a drink. i knew that. oh, you already know the answer. oh yeah, i know the answer. i just want to hear the true answer to it. who was it? it was anthony. it was in the laundry room. on the dryer? no. no, it was just like in the laundry room and not back. the back area that i made for the kids to play in? yes. do you think your mother can do better than me? wife. gotta put the bass down in there, you know? i mean... this is no. that's a faulty question. i know the answer is no. like, i think you're great as you are, so i don't really know what could be better. i think she's happy and she's perfectly fine and she loves where she's at. so if she loves where she's at, then i love where she's at. that's cool. yeah. cool.",videos/6988129921063243013.mp4,0,"A stepdad and stepdaughter play ""Truth or Drink,"" where the stepdad asks invasive questions about the stepdaughter's sexual history in his house and her opinion on his relationship with her mother, making crude sexual remarks.",YES,"The video embodies sexism through the stepfather's inappropriate, invasive, and sexually charged questioning of his stepdaughter, as well as his crude sexual remark about his relationship with her mother made directly to her. This behavior creates an uncomfortable power dynamic, disregards her boundaries, and leverages his male parental role to introduce inappropriate sexual content, which can be seen as a form of gendered imposition."
220115,"i'm stronger than your boyfriend girls can't do press-ups. sarahvibes isn't able to do them either.  work it, make it, do it, make sense harder, better, faster, stronger.",videos/6868311865185848581.mp4,1,"A woman performs push-ups while text on the screen reads ""Girls can't do press-ups,"" accompanied by a peace sign emoji.",YES,The video directly confronts and criticizes a common sexist stereotype that girls are physically incapable or less capable of doing press-ups by showing a woman proficiently performing them. The caption is presented sarcastically to highlight the absurdity of the stereotype.
