id_EXIST,text,path_video,target,description,label,analysis
220085," face_with_tears_of_joy  can't stop watching this female.  yeah, like, where are your people from? well, my great-grandma was from seoul. korean. i knew it. i was like, she's either japanese or korean. but i was leaning more towards korean. amazing. yeah. ham shastina. there's a really good teriyaki barbecue place near my apartment. i actually really like kimchi. cool. what about you? where are you from? san francisco. but where are you from? oh, i'm just american. really? you're native american? no, just regular american. oh, well, i guess my grandparents are from england. oh. well... hello, governor! what's all this then? top of the morning to ya. let's get a small tea, small tea! double, double, toil and trouble mind the gap beware jack the ripper bloody hell",videos/6854097212897496326.mp4,0,"A man asks an Asian woman where she is from, and upon learning her great-grandmother was from Seoul, he makes assumptions and stereotypes about her Korean heritage; when he reveals his grandparents are from England, she responds with an exaggerated, stereotypical British persona, highlighting the absurdity of his initial questioning.",NO,"The video criticizes racial microaggressions and stereotyping, not sexism. The core conflict and humor stem from assumptions based on race and ethnicity, rather than gender stereotypes, beliefs in male superiority, or misogynistic views."
220425,"the closest object to you.. closest you are to you. dreamer x xj. dreamer ix x0.  the closest object to you is the only thing you have to defend yourself during the zombie apocalypse. duet me with your object, and let's see how screwed we are.",videos/6967091366211915014.mp4,0,"A person in a dark hoodie and a glowing blue mask with 'X' eyes and a stitched smile speaks to the camera, posing a hypothetical zombie apocalypse scenario where the closest object is your only weapon.",NO,"The video features a person in a costume presenting a gender-neutral scenario for a TikTok trend. It does not contain any elements that marginalize, show prejudice against women, promote male superiority, or express misogynistic views."
220704," ""think 17 7 as 4 cdi redopng, think 17 2 a fra pocong, gcoic s co po2on9, think 17 7z 12= 9 ca 02ro9, gedi p2r2ang = 5 2 4s, grahr pdo 2 =gror, puck5, c jar0< g3 5, gong oucog5, gachs gochgreph, pooa 4r5z, poal 42, puoa 4r2=s, 4 paoa s, podan 2z=, pecka) 73 1=, 2zs 2=, gaphgach_ packar 7z=, peckan] 7z, podal ss 2e 8 ~ =, grc aodengraph 4r5=, agangach pda 7=, gad podari=, gaong acarr7=, grpr noo22z, go hoap=, grchc ruckagraph 7z2, pooa452= cz, gech puchopocka 3z, gaph2s pez, gach, pcangreph 452= p=, pdangrach poou 7z 3 ~=, fodar 53 ~=, gop pcor, gap pacar12z, gap pacor, gsphr rcoy, gractr pcox=, gor foo, gor acopoco sz, gohpoda, gohgadn pooa s=, ao, goh 2grcch roa 7 2=, fac, 2= 7o 4952 1=, 4 to<.""  i have a joke for you. okay. on my hand, there's three women. there's a blonde, there's a brunette, and there's a redhead. go ahead and pick the blonde up. put it next to your face right here. does that feel like the first time you've had sex? no. no. okay, go ahead and put her back. neither by that, she's a wild one. go ahead and pick her up. i'm not ready to get slapped. i'm going to put her next to your face. does that feel like the first time you had sex? no. okay, go ahead and put it back. all right, give me your hand. now here's all three. go ahead and shake it out. does that feel like the first time you had sex?",videos/7053536086726872366.mp4,0,"The video features a person telling a joke to a man, involving miming interactions with three imagined women (blonde, brunette, redhead) on their hand, leading to a sexual punchline.",YES,"The joke objectifies women by reducing them to interchangeable items for a crude sexual scenario and relies on stereotypes (e.g., calling the redhead 'a wild one'). This use of women as props for a sexual joke, trivializing them to body parts or objects for sexual gratification, is a form of sexism."
220244,"난 좀 활동적인 편 when she's asleep, be quiet and careful.  so ugh! ugh!",videos/6920517791011523841.mp4,0,This video contrasts a man's quiet and considerate behavior when a woman is sleeping with a woman's loud and disruptive behavior when a man is sleeping.,YES,"The video embodies sexism by reinforcing a gender stereotype that portrays women as inconsiderate and disruptive while men are depicted as caring and thoughtful, framing this as a typical gender-differentiated behavior in a domestic context. This presents a prejudicial view of women through a negative behavioral stereotype."
220926,"what do your sleepovers look like?  face_with_tears_of_joy  unusualbeaut  how boys think girl sleepovers go  pillow fight! *giggle* *giggle*
how they actually go  let's see who can burp the loudest! *massive burp*  oh, it's you can burp the loudest.",videos/7124854158783548715.mp4,1,"The video contrasts a stereotypical, 'girly' depiction of a girls' sleepover (how boys imagine it) with a more 'unladylike' reality of a burping contest.",YES,"The video criticizes sexism by humorously subverting a common gender stereotype about how girls behave when boys are not around, challenging the often limited and idealized perceptions that boys might hold about girls' sleepovers."
220271,"megan fox deserved better from us. name an actress who deserves better from feminists  megan fox.  name an actress who deserved better from feminists. i'll go first. in this moment right now where you believe victims, but if there's ever going to be one person that it was okay not to to believe it would be me. if it's ever going to be okay to shame a victim, it's going to be me. that's just the belief because of what i've been through. and that's not to say that it's right but it is a fear it's the same fear that that you're expressing and not that i need to speak out so that i can have some sort of healing but just the fact that we struggle with that privately is unfortunate because there's still not really a space like i don't feel like there's a space in feminism for me you know even though i consider myself a feminist i feel like feminists don't want me to be a part of their group. and what is, what are we talking about then? what is feminism? what is supporting other females? if there's only certain ones of us you support, if i have to be an academic or i have to be not threatening to you in some way, why can't i be a part of the group as well? why do i have to be dismissed?",videos/6927763227686276357.mp4,1,"A TikTok user asks for examples of actresses who deserve better from feminists, then shows an interview clip where Megan Fox discusses feeling excluded from feminist circles despite identifying as a feminist.",YES,"The video criticizes perceived exclusionary practices within feminism by highlighting Megan Fox's experience of feeling marginalized by the movement, suggesting that certain types of women are not accepted or supported by some feminist groups."
220006,"i wish this wasn’t a true story man_shrugging  i turn off my car while it's in drive, but the key won't come out. i call my mom for help and put the car in park.  oh. oops.",videos/6751959446093647110.mp4,0,"A young man in a car gets frustrated because he can't remove his keys from the ignition while the car is in drive, calls his mom, then realizes he needs to put the car in park, while a young woman in the passenger seat observes.",NO,"The video's humor stems from the driver's mistake and subsequent realization, not from any gender-based stereotypes, prejudice, or a display of male superiority or misogyny. The female passenger's presence is incidental and does not contribute to any sexist theme."
220307,"pov  women vs men getting a wax done women vs men getting a wax done. women's perspective  women and men both getting waxed. women's experience  miriam mullins getting waxed. men's perspective  men also getting waxed. miriam mullins getting waxed.  hi, i was just wondering if i could get a wax. yeah, of course. what kind of wax are you looking for? i'm just looking to get a brazilian done. yeah, perfect. just pop away down the bed there. okay, i'm just going to start there alright? yeah perfect. so are you busy? girl we're up the walls. are you okay? it's not hurting? no i'm fine. i actually find the waxing very therapeutic. well yeah i was just wondering there if i could get a wax done. yeah of course no problem what kind of wax are you looking for? yeah just the brazilian you know down there. grind perfect pop down in the bed there. i'm just wondering, what's the pain tolerance? it shouldn't hurt that much. i'll try and be easy. uh, okay. okay, one, two. jesus! no, no, i can't! you're trying to rip off me balls or what? me balls!",videos/6938863068973665542.mp4,1,"A woman comedically portrays how women and men react differently to getting a Brazilian wax, with the woman being calm and the man being overly dramatic and sensitive to pain.",YES,"The video relies on gender stereotypes for humor, portraying women as having high pain tolerance and men as having low pain tolerance, which reinforces traditional gender roles and expectations. This is a form of prejudice against men based on gender stereotypes."
220827,"truth  woman_tipping_hand  when i'm in a bad mood, i want attention. when you're in a bad mood, you want attention. when i'm feeling down, i want attention. when you're feeling down, i want attention.  so thank you.",videos/7096626231273196806.mp4,0,A small bird walks across a wooden floor with the caption 'When Im in a bad mood and want attention'.,NO,"The video depicts a bird wanting attention, a common and relatable sentiment that is not inherently gendered. The content does not marginalize, promote prejudice against women, suggest male superiority, or express misogynistic views."
220020,"payback for when we were younger  face_with_tears_of_joy  zacov patitk, lpat zachv, patutkk zacov, ~pattrik zachv, ~pat.  hey, hey, hey, oh! stop! wait a minute",videos/6794928338449222917.mp4,0,A person with Down syndrome playfully prepares to prank another person sleeping on a couch.,NO,"The video does not contain any elements of sexism. It shows a lighthearted interaction between two individuals with no reference to gender, gender stereotypes, prejudice, or misogyny."
